step,packet_count,total_bytes,avg_bytes,iat_mean,iat_std,unique_dst_ip,unique_dst_port,top_dst_port_ratio,anomaly_score,base_threshold,ext_threshold,level,high_risk,consecutive_suspicious,consecutive_extreme,is_extreme,min_packet_gate,phase
102,10,776,77.6,0.19905996322631836,0.4789346979761435,3,2,0.5,-0.015661264313391876,0.1490532579263981,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
103,14,1113,79.5,0.29569332416240984,0.6500252516206154,3,3,0.3333333333333333,-0.01314581019019917,0.14908518534572188,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
104,12,990,82.5,0.2793829224326394,0.6317228213918105,3,3,0.4,-0.03888300871396222,0.14911072728118088,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
105,12,990,82.5,0.2793829224326394,0.6317228213918105,3,3,0.4,-0.03888300871396222,0.14213245505940533,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
106,12,1011,84.25,0.27911036664789374,0.6309583810868385,3,3,0.3333333333333333,-0.06517673889087866,0.12780294280361376,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
107,12,1011,84.25,0.27911036664789374,0.6309583810868385,3,3,0.3333333333333333,-0.06517673889087866,0.1161035409598265,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
108,11,930,84.54545454545455,0.4095952272415161,0.8189406480217479,3,3,0.4,0.01278307836559267,0.10674401948479668,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
109,8,674,84.25,0.29235380036490305,0.7161176352575109,3,3,0.5,-0.09182020482942843,0.09925640230477284,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
110,8,674,84.25,0.29235380036490305,0.7161176352575109,3,3,0.5,-0.09182020482942843,0.09326630856075376,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
111,10,776,77.6,0.34146841367085773,0.9654650460480445,3,2,0.5,-0.024877566622429126,0.08457450023669197,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
112,14,1113,79.5,0.31507347180293155,0.8409692206671534,3,3,0.3333333333333333,0.04184336358374918,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
113,14,1113,79.5,0.15765215800358698,0.3693011421093729,3,4,0.3333333333333333,0.07683422864539857,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
114,14,1113,79.5,0.15765215800358698,0.3693011421093729,3,4,0.3333333333333333,0.07683422864539857,0.08,0.1900081828313001,NORMAL,False,0,0,False,True,NORMAL
115,18,1450,80.55555555555556,0.22594247144811294,0.5107254215055267,3,5,0.25,0.14152221140255805,0.08,0.1900081828313001,SUSPICIOUS,False,1,0,False,True,NORMAL
